"Line"
" 1:31:39 (ARCGIS) TIMESTAMP 4/7/2021"
" 5:51:10 (lmgrd) TIMESTAMP 4/7/2021"
" 7:36:42 (ARCGIS) TIMESTAMP 4/7/2021"
"11:51:11 (lmgrd) TIMESTAMP 4/7/2021"
"13:41:46 (ARCGIS) TIMESTAMP 4/7/2021"
"17:51:11 (lmgrd) TIMESTAMP 4/7/2021"
"19:46:46 (ARCGIS) TIMESTAMP 4/7/2021"
"23:51:11 (lmgrd) TIMESTAMP 4/7/2021"
" 1:51:46 (ARCGIS) TIMESTAMP 4/8/2021"
" 5:51:11 (lmgrd) TIMESTAMP 4/8/2021"
" 7:56:46 (ARCGIS) TIMESTAMP 4/8/2021"
"11:51:15 (lmgrd) TIMESTAMP 4/8/2021"
"14:01:46 (ARCGIS) TIMESTAMP 4/8/2021"
"17:51:15 (lmgrd) TIMESTAMP 4/8/2021"
"20:06:48 (ARCGIS) TIMESTAMP 4/8/2021"
"23:51:15 (lmgrd) TIMESTAMP 4/8/2021"
" 2:11:48 (ARCGIS) TIMESTAMP 4/9/2021"
" 5:51:15 (lmgrd) TIMESTAMP 4/9/2021"
" 8:16:50 (ARCGIS) TIMESTAMP 4/9/2021"
"11:51:19 (lmgrd) TIMESTAMP 4/9/2021"
"14:21:50 (ARCGIS) TIMESTAMP 4/9/2021"
"17:51:19 (lmgrd) TIMESTAMP 4/9/2021"
"20:26:50 (ARCGIS) TIMESTAMP 4/9/2021"
"23:51:20 (lmgrd) TIMESTAMP 4/9/2021"
" 2:31:50 (ARCGIS) TIMESTAMP 4/10/2021"
" 5:51:24 (lmgrd) TIMESTAMP 4/10/2021"
" 8:36:54 (ARCGIS) TIMESTAMP 4/10/2021"
"11:51:24 (lmgrd) TIMESTAMP 4/10/2021"
"14:41:54 (ARCGIS) TIMESTAMP 4/10/2021"
"17:51:24 (lmgrd) TIMESTAMP 4/10/2021"
"20:46:54 (ARCGIS) TIMESTAMP 4/10/2021"
"23:51:24 (lmgrd) TIMESTAMP 4/10/2021"
" 2:51:54 (ARCGIS) TIMESTAMP 4/11/2021"
" 5:51:24 (lmgrd) TIMESTAMP 4/11/2021"
" 8:56:54 (ARCGIS) TIMESTAMP 4/11/2021"
"11:51:24 (lmgrd) TIMESTAMP 4/11/2021"
"15:01:54 (ARCGIS) TIMESTAMP 4/11/2021"
"17:51:24 (lmgrd) TIMESTAMP 4/11/2021"
"21:06:54 (ARCGIS) TIMESTAMP 4/11/2021"
"23:51:24 (lmgrd) TIMESTAMP 4/11/2021"
" 3:11:54 (ARCGIS) TIMESTAMP 4/12/2021"
" 5:51:26 (lmgrd) TIMESTAMP 4/12/2021"
" 9:16:56 (ARCGIS) TIMESTAMP 4/12/2021"
"11:51:26 (lmgrd) TIMESTAMP 4/12/2021"
"15:21:58 (ARCGIS) TIMESTAMP 4/12/2021"
"17:51:26 (lmgrd) TIMESTAMP 4/12/2021"
"21:27:02 (ARCGIS) TIMESTAMP 4/12/2021"
"23:51:26 (lmgrd) TIMESTAMP 4/12/2021"
" 3:32:02 (ARCGIS) TIMESTAMP 4/13/2021"
" 5:51:26 (lmgrd) TIMESTAMP 4/13/2021"
" 9:37:05 (ARCGIS) TIMESTAMP 4/13/2021"
"11:51:28 (lmgrd) TIMESTAMP 4/13/2021"
"15:42:08 (ARCGIS) TIMESTAMP 4/13/2021"
"17:51:32 (lmgrd) TIMESTAMP 4/13/2021"
"21:47:08 (ARCGIS) TIMESTAMP 4/13/2021"
"23:51:35 (lmgrd) TIMESTAMP 4/13/2021"
" 3:52:09 (ARCGIS) TIMESTAMP 4/14/2021"
" 5:51:35 (lmgrd) TIMESTAMP 4/14/2021"
" 9:57:13 (ARCGIS) TIMESTAMP 4/14/2021"
"11:51:35 (lmgrd) TIMESTAMP 4/14/2021"
"16:02:14 (ARCGIS) TIMESTAMP 4/14/2021"
"17:51:37 (lmgrd) TIMESTAMP 4/14/2021"
"22:07:14 (ARCGIS) TIMESTAMP 4/14/2021"
